Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
147,57.25,55.25,39.25,56.50,59.75,37.75,0.00,0,1,0,1,"354
"
148,57.00,55.00,38.75,56.00,60.00,38.00,0.00,0,1,0,0,"355
"
149,56.75,55.00,39.00,56.00,59.50,37.75,0.00,0,0,0,0,"355
"
150,57.25,55.00,39.25,56.25,60.00,37.75,0.00,0,1,1,1,"355
"
151,57.50,55.50,38.75,56.50,59.75,37.50,0.00,0,1,0,0,"355
"
152,57.00,55.25,39.25,56.25,59.50,38.00,0.00,1,0,0,1,"355
"
153,57.50,55.50,39.50,56.00,60.00,37.25,0.00,0,0,0,0,"355
"
154,57.50,55.50,39.25,56.75,60.25,37.75,0.00,0,1,1,1,"355
"
155,57.50,57.00,39.25,56.00,60.00,38.00,0.00,0,1,0,1,"355
"
156,57.50,58.75,39.00,56.25,60.00,37.75,0.00,1,1,1,1,"355
"
157,57.50,60.25,39.00,56.75,60.25,37.75,0.00,0,1,1,1,"355
"
158,58.00,60.00,39.25,57.00,60.75,37.75,0.00,1,0,0,1,"354
"
159,57.75,60.25,38.75,56.25,60.50,37.25,0.00,0,1,1,0,"355
"
160,57.75,60.25,39.00,57.00,60.00,38.00,0.00,0,0,0,0,"354
"
161,57.25,61.25,39.00,56.50,60.25,37.25,0.00,0,1,0,1,"354
"
162,57.75,61.25,39.25,56.75,60.50,37.25,0.00,1,1,1,1,"354
"
163,57.50,60.75,39.00,57.50,60.75,37.75,0.00,0,1,0,1,"354
"
164,57.75,60.25,39.00,57.25,60.50,37.75,0.00,0,1,0,0,"354
"
165,58.00,62.00,39.25,57.25,61.25,37.75,0.00,1,1,0,0,"354
"
166,57.75,62.50,39.25,56.75,60.50,37.75,0.00,1,1,0,1,"354
"
167,58.25,61.25,39.00,57.25,60.75,37.75,0.00,0,0,1,0,"354
"
168,58.00,61.75,39.25,57.25,60.50,37.75,0.00,1,1,1,1,"354
"
169,58.00,61.00,39.25,57.00,61.00,37.75,0.00,1,0,1,0,"354
"
170,58.00,60.75,39.50,57.50,61.25,37.25,0.00,0,1,1,1,"354
"
171,57.75,62.25,39.25,57.00,61.25,37.50,0.00,1,1,0,1,"353
"
172,58.00,61.50,39.00,57.25,61.00,37.75,0.00,1,0,1,1,"354
"
173,58.25,61.50,38.75,57.50,61.25,37.75,0.00,1,1,1,1,"354
"
174,57.75,61.25,39.00,57.75,61.25,37.25,0.00,1,0,1,1,"354
"
175,58.25,61.25,38.50,57.50,61.00,37.75,0.00,0,0,1,1,"354
"
176,58.00,60.75,39.00,57.75,61.50,38.00,0.00,1,0,1,1,"353
"
177,58.25,65.50,39.00,57.25,61.50,37.50,0.00,0,0,0,1,"354
"
178,58.00,62.75,39.00,57.75,61.50,37.50,0.00,1,1,1,1,"354
"
179,58.50,61.25,39.00,57.75,61.50,37.50,0.00,0,1,1,1,"354
"
180,58.50,59.50,39.00,57.75,61.50,38.25,0.00,0,1,0,1,"353
"
181,58.50,61.25,38.75,57.75,61.50,37.50,0.00,1,1,0,0,"353
"
182,58.25,72.00,39.25,57.75,61.50,37.50,0.00,0,1,0,0,"354
"
183,58.25,69.50,38.75,57.75,61.75,37.75,0.00,0,1,1,1,"354
"
184,58.00,67.50,38.75,58.00,61.50,37.50,0.00,1,1,1,1,"354
"
185,58.50,63.75,39.00,58.00,61.50,37.50,0.00,0,1,1,1,"354
"
186,58.50,62.50,38.75,57.50,61.75,37.75,0.00,1,1,0,0,"354
"
187,58.75,60.00,39.00,58.00,61.75,37.50,0.00,1,0,0,1,"354
"
188,58.50,59.75,38.75,58.00,61.50,37.75,0.00,1,0,0,0,"353
"
189,58.75,60.00,38.75,57.75,61.75,38.00,0.00,0,1,0,1,"354
"
190,58.75,59.00,39.00,58.25,61.75,37.50,0.00,1,0,1,1,"354
"
