Time(s),Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Water Outlet,Water Inlet,V1,V2,V3,V4,,
142,66.5,62.75,55.75,62.75,41.25,42,0,0,0,0,,
143,66.25,62.75,55.5,62.75,41.5,41.75,0,0,1,0,,
144,66.75,63.25,55.75,63.25,41.5,41.5,1,1,0,1,,
145,66.5,63,56,63,41.25,41.75,0,0,0,1,,
146,66.5,63,55.75,63,41.5,41.25,0,1,0,1,,
147,66.75,63,56.25,63,41.5,41.5,0,0,0,0,,
148,67,63,56.5,63,41.25,41,0,1,0,1,,
149,66.75,63.25,56.25,63.25,41.5,41.5,0,1,0,1,,
150,67.25,63.25,56.5,63.25,40.75,41.25,0,1,0,0,,
151,67,63.25,56.5,63.25,41.25,41.25,1,0,0,1,,
152,67,63.25,56.5,63.25,41,41.25,0,1,0,0,,
153,67.25,63,56,63,41.25,40.75,0,0,0,1,,
154,67.25,63.5,56,63.5,41.25,41.5,0,0,0,0,,
155,67.5,63.5,56.5,63.5,41,41,0,1,1,0,,
156,67.5,63.5,56.25,63.5,41.5,41.25,0,0,0,1,,
157,67.5,63.25,57,63.25,41.25,41,1,1,0,0,,
158,67.5,63.5,56.25,63.5,41.5,41.5,0,0,0,1,,
159,67.25,63.25,56.75,63.25,41.5,41,0,0,0,0,,
160,67.25,63.5,56.25,63.5,41.25,40.5,0,1,0,1,,
161,67,63.25,56.25,63.25,41.5,40.25,1,0,1,0,,
162,67.5,63.25,56.75,63.25,41,40.75,0,0,0,1,,
163,67.5,63.5,57,63.5,41.25,40.75,0,1,0,1,,
164,67.75,63.5,56.25,63.5,41,40.75,1,0,1,0,,
165,68,63.25,57,63.25,40.75,41,0,1,0,1,,
166,67.5,64,56.5,64,41.25,40.5,1,0,1,0,,
167,67.75,63.5,56.75,63.5,41,40.75,0,1,0,1,,
168,68,63.75,56.75,63.75,41.25,41,1,1,0,1,,
169,68.25,63.5,57.5,63.5,40.75,40.75,0,0,0,1,,
170,68,63.75,56.5,63.75,41.5,40.75,0,0,0,1,,
171,68.25,63.5,57,63.5,41.25,40.5,0,0,0,1,,
172,68,64,56.75,64,41.25,40.75,0,1,0,0,,
173,68,63.5,57.25,63.5,41.25,40.5,0,0,0,1,,
174,68.25,64,57.5,64,40.25,40.5,0,0,0,0,,
175,68.25,63.5,57.25,63.5,40.75,40.75,0,0,1,0,,
176,68.25,64.25,57.5,64.25,41.25,41,0,0,0,0,,
177,68.25,64.25,57.5,64.25,41,40.75,1,0,1,1,,
178,68.5,64,57.5,64,40.25,40.25,0,0,0,0,,
179,68.75,64.25,57.5,64.25,41.25,40.5,0,0,0,0,,
180,68.25,64.25,57,64.25,40.5,40.25,0,1,1,0,,
181,68.75,64,57.5,64,41,40,0,0,0,1,,
182,68.75,64.5,58,64.5,41,40.5,1,1,0,0,,
